id,value
mradermacher,804
Thireus,229
ZHLiu627,128
yufeng1,106
Triangle104,105
nightmedia,102
mlx-community,101
the-acorn-ai,62
unsloth,61
DevQuasar,56
lmstudio-community,56
kevinshin,55
featherless-ai-quants,48
princeton-nlp,47
prithivMLmods,43
bartowski,38
Xuehai,34
RLAIF,32
Seanie-lee,32
roleplaiapp,30
thejaminator,29
CodeIsAbstract,29
Qwen,28
TeichAI,28
lemonhat,26
NexVeridian,26
zhangchenxu,25
DavidAU,25
introvoyz041,25
fengyao1909,25
AmberYifan,23
debisoft,22
RichardErkhov,22
cpatonn,22
lisabdunlap,21
nkkbr,21
huihui-ai,21
noctrex,21
kaitchup,19
VanWang,19
Seungyoun,19
UCSC-VLAA,18
HerrHruby,17
atrost,17
miromind-ai,17
justinj92,16
Mungert,16
tensorblock,16
rmcc11,16
amityco,16
OctoThinker,15
elichen-skymizer,15
fevohh,15
alandao,15
Shiyu-Lab,15
weblab-llm-competition-2025-bridge,15
joey00072,14
stellalisy,14
naimulislam,14
aaabiao,14
hnv2520,14
YangZhoumill,13
rubricreward,13
SvalTek,13
simonycl,13
cyankiwi,13
SONGJUNTU,12
reinforce20001,12
Jackrong,12
zeliang0426,12
Ba2han,12
taobao-mnn,12
QuantTrio,11
realtreetune,11
leonMW,11
zheminh,11
LLM-Compe-2025-Camino,11
Leeyuyu,11
mlfoundations-dev,11
ybkim95,11
QuantFactory,11
hunarbatra,11
Snyhlxde,10
ChenWu98,10
Image-editing,10
Evangelinejy,10
causal-ladder,10
alexgusevski,10
jjeccles,10
huskyhong,10
MaziyarPanahi,10
pittawat,10
nnheui,9
Firworks,9
YuxinJiang,9
vinhnx90,9
Legend0fHell,9
denisel,9
bugkiller2025,9
NikolayKozloff,9
jdineen,9
yujunzhou,8
WinkingFace,8
sizzlebop,8
vpakarinen,8
ArtusDev,8
John1604,8
open-thoughts,8
selimaktas,8
henryL7,8
tisu1902,8
EZCon,8
dicta-il,8
Resa-Yi,7
Intel,7
jan-hq,7
kumapo,7
THU-KEG,7
AIcell,7
Novaciano,7
ellietang,7
bralynn,7
Benasd,7
DESUCLUB,7
NexaAI,7
Johnson111788,7
ysc0034,7
Elpmis,7
xingqiang,7
ertghiu256,7
Sr-Carlos,7
ngxson,7
VRDate,7
McG-221,7
DCAgent,7
magiccodingman,7
allenai,7
AymanTarig,6
garrison,6
Writer,6
Undi95,6
Edge-Quant,6
x1nx3r,6
leonsarmiento,6
YOYO-AI,6
ggml-org,6
mmnga,6
CodeGoat24,6
ERNIE-Community,6
cnfusion,6
ZuzeTt,6
imdatta0,6
dreambleumer,6
jiaxin-wen,6
chegde,6
distilled-ai,6
sumgai,6
researchsocaai,6
EpistemeAI,6
OpenBuddy,6
Lucy-in-the-Sky,6
lovedheart,6
minhnguyen5293,6
onnx-community,6
gabrielcsilva,6
Ibisbill,6
redponike,6
Sangsang,5
gabriellarson,5
Theros,5
hienhayho,5
SiddhJagani,5
kenonix,5
LeroyDyer,5
surajpatil4899,5
jdqqjr,5
parsa-mhmdi,5
TareksLab,5
terencezhang2024,5
nvh2520,5
LlameUser,5
theprint,5
OpenLearnLM,5
yangzhch6,5
ydeng9,5
dayone3nder,5
bullerwins,5
bunnycore,5
Tiiny,5
rogerscuall,5
Quazim0t0,5
rd211,5
Igorrr0,5
anonymous-2321,5
spinech,4
sm54,4
RLVER,4
daixuancheng,4
RZ412,4
PowerServe,4
ServiceNow-AI,4
mychen76,4
andyqmongo,4
cesun,4
VerlTool,4
loveisgone,4
tkhang111,4
CromonHarry,4
GiRLaZo,4
huseyinatahaninan,4
ewre324,4
ShourenWSR,4
kaizen9,4
motigrez,4
hbXNov,4
EnriqueSolarte,4
billmianz,4
qingy2024,4
HYGGEhygge,4
venetis,4
AlejandroOlmedo,4
cybershiptrooper,4
abnormalmapstudio,4
vakilrathod67,4
Supra-Nexus,4
stumbledparams,4
ConicCat,4
Sandesh2027,4
evansu,4
dwikitheduck,4
upb-nlp,4
wangkanai,4
henryli525,4
Jiahao004,4
XueZhang-bjtu,4
lixiaoxi45,4
OPPOer,4
SakaiSec,4
jamiltonquintero,4
bgg1996,4
Seongyun,4
pot99rta,4
Userb1az,4
skaltenp,4
yuechenzhx,4
streaver91,4
Wwayu,4
hrw,4
Allen-UQ,4
numind,4
nicoboss,4
MrPrinceHz,4
Mohaddz,4
johnsmith968530,4
jinliuxi,4
JunHowie,4
EryriLabs,4
