from,to,round,deals,value
Argentina (Else),Argentina (Else),Angel,1,397000
Argentina (Else),Missouri (US),Pre Seed,1,850000
Argentina (Else),Argentina (Else),Pre Seed,1,680000
Argentina (Else),Mexico (Else),Pre Seed,1,50000
Argentina (Else),Spain (EU),Seed,2,685000
Argentina (Else),Mexico (Else),Seed,1,600000
Argentina (Else),Puerto Rico (Else),Seed,1,600000
Mexico (Else),Puerto Rico (Else),Seed,1,300000
Argentina (Else),Argentina (Else),Seed,4,4169167
Argentina (Else),New York (US),Seed,1,685000
Brazil (Else),Lao People's Democratic Republic (Else),Seed,1,300000
Brazil (Else),Mexico (Else),Seed,10,5405659
Brazil (Else),Switzerland (EU),Seed,4,4345101
Lao People's Democratic Republic (Else),Mexico (Else),Seed,1,300000
Lao People's Democratic Republic (Else),Switzerland (EU),Seed,1,300000
Mexico (Else),Switzerland (EU),Seed,2,3156987
Argentina (Else),California (US),Seed,2,341667
Argentina (Else),Ireland (EU),Seed,1,175000
California (US),Ireland (EU),Seed,7,10747669
California (US),Spain (EU),Seed,15,23594897
Ireland (EU),Spain (EU),Seed,2,546429
Argentina (Else),District of Columbia (US),Series A,1,2250000
Argentina (Else),Dominican Republic (Else),Series A,1,1500000
District of Columbia (US),Dominican Republic (Else),Series A,2,5250000
District of Columbia (US),District of Columbia (US),Series A,12,31632107
California (US),New York (US),Series A,375,5291214060
California (US),United Kingdom (EU),Series A,111,1072019130
New York (US),United Kingdom (EU),Series A,65,887523891
New York (US),New York (US),Series A,193,1624698017
Argentina (Else),Brazil (Else),Series A,3,10000000
Argentina (Else),Missouri (US),Series A,1,3000000
Argentina (Else),New York (US),Series A,2,5125000
Argentina (Else),Switzerland (EU),Series A,1,3000000
Brazil (Else),Missouri (US),Series A,1,2000000
Brazil (Else),New York (US),Series A,17,93860405
Brazil (Else),Switzerland (EU),Series A,1,2000000
Missouri (US),New York (US),Series A,8,18622919
Missouri (US),Switzerland (EU),Series A,1,2000000
New York (US),Switzerland (EU),Series A,17,94930628
Argentina (Else),Argentina (Else),Series A,3,4592800
Brazil (Else),California (US),Series B,4,52895101
Brazil (Else),New York (US),Series B,13,112253839
Brazil (Else),United Kingdom (EU),Series B,5,49639285
California (US),New York (US),Series B,217,5084075011
California (US),United Kingdom (EU),Series B,85,1635263300
New York (US),United Kingdom (EU),Series B,51,815071465
New York (US),New York (US),Series B,107,1458644429
Canada (Else),France (EU),Series Unknown,6,207112265
Canada (Else),The Netherlands (EU),Series Unknown,2,443333333
France (EU),The Netherlands (EU),Series Unknown,6,200237886
District of Columbia (US),District of Columbia (US),Series Unknown,5,29506650
Australia (Else),Australia (Else),Angel,2,654105
Australia (Else),Colorado (US),Convertible Note,1,88909
Australia (Else),South Korea (Else),Corporate Round,1,1200000
Australia (Else),Australia (Else),Corporate Round,2,2494259
Australia (Else),California (US),Corporate Round,1,2391389
Australia (Else),Florida (US),Corporate Round,1,2391389
Australia (Else),New York (US),Corporate Round,1,2391389
California (US),Florida (US),Corporate Round,3,34549933
California (US),New York (US),Corporate Round,9,219714869
Florida (US),New York (US),Corporate Round,3,16130385
Australia (Else),Australia (Else),Debt Financing,4,313873090
Australia (Else),Japan (Else),Debt Financing,2,347059635
Germany (EU),New York (US),Debt Financing,5,2241450247
Australia (Else),California (US),Grant,1,600000
Australia (Else),Australia (Else),Grant,4,35305156
Cayman Islands (Else),Cayman Islands (Else),Grant,2,600000
California (US),Florida (US),Initial Coin Offering,10,222607768
California (US),New York (US),Initial Coin Offering,8,183772856
California (US),Singapore (Else),Initial Coin Offering,7,77519170
Florida (US),New York (US),Initial Coin Offering,5,51806366
Florida (US),Singapore (Else),Initial Coin Offering,4,38363736
New York (US),Singapore (Else),Initial Coin Offering,4,34225641
Australia (Else),Australia (Else),Post IPO Equity,1,49597795
Australia (Else),Hong Kong (Else),Pre Seed,18,2028333
Australia (Else),Australia (Else),Pre Seed,9,1554650
Australia (Else),Singapore (Else),Pre Seed,2,231333
California (US),New York (US),Pre Seed,80,37027876
California (US),California (US),Pre Seed,76,48710521
California (US),New Jersey (US),Pre Seed,12,3166678
Australia (Else),Australia (Else),Private Equity,1,70000000
California (US),Illinois (US),Private Equity,2,43940238
California (US),New York (US),Private Equity,12,2889963436
Illinois (US),New York (US),Private Equity,2,28940238
California (US),California (US),Private Equity,11,1961657143
Australia (Else),Australia (Else),Secondary Market,1,294531114
Australia (Else),Australia (Else),Seed,34,38994162
Australia (Else),Singapore (Else),Seed,9,11722381
Australia (Else),California (US),Seed,24,47608082
Australia (Else),Canada (Else),Seed,4,4440696
Australia (Else),Massachusetts (US),Seed,6,10312919
California (US),Canada (Else),Seed,86,171170456
California (US),Massachusetts (US),Seed,147,313236280
Canada (Else),Massachusetts (US),Seed,21,33386497
California (US),California (US),Seed,745,1469712545
Australia (Else),Bermuda (Else),Seed,1,1182103
Australia (Else),United Kingdom (EU),Seed,7,12484747
United Kingdom (EU),United Kingdom (EU),Seed,203,341062675
Australia (Else),Colorado (US),Seed,3,5880370
Australia (Else),Hong Kong (Else),Seed,3,1380692
Colorado (US),Hong Kong (Else),Seed,3,4310584
Colorado (US),United Kingdom (EU),Seed,7,7244993
Hong Kong (Else),United Kingdom (EU),Seed,9,15799099
California (US),China (Else),Seed,57,220144938
California (US),Taiwan (Else),Seed,9,18342172
China (Else),Taiwan (Else),Seed,4,8342857
Australia (Else),Jersey (Else),Seed,1,2333333
Australia (Else),New York (US),Seed,11,15870306
Jersey (Else),New York (US),Seed,1,2333333
California (US),Colorado (US),Seed,59,76797540
California (US),New York (US),Seed,480,1097600216
Colorado (US),New York (US),Seed,46,67758274
Australia (Else),Canada (Else),Series A,2,67456510
Australia (Else),North Carolina (US),Series A,2,63873176
Australia (Else),United Arab Emirates (Else),Series A,1,62206510
Canada (Else),North Carolina (US),Series A,1,41471006
Canada (Else),United Arab Emirates (Else),Series A,1,41471006
North Carolina (US),United Arab Emirates (Else),Series A,1,41471006
Australia (Else),Australia (Else),Series A,25,197031464
Australia (Else),California (US),Series A,15,96039200
Australia (Else),Hong Kong (Else),Series A,3,12527750
California (US),Hong Kong (Else),Series A,44,959562416
California (US),California (US),Series A,569,5914046903
Australia (Else),South Africa (Else),Series A,2,24053064
Australia (Else),New Jersey (US),Series A,1,6057848
Australia (Else),Singapore (Else),Series A,3,21694212
Australia (Else),United Kingdom (EU),Series A,3,25932278
California (US),New Jersey (US),Series A,17,185826116
California (US),Singapore (Else),Series A,64,593640864
New Jersey (US),Singapore (Else),Series A,4,26491079
New Jersey (US),United Kingdom (EU),Series A,3,26695591
Singapore (Else),United Kingdom (EU),Series A,14,214388877
Australia (Else),District of Columbia (US),Series A,2,5166667
Australia (Else),Illinois (US),Series A,2,22800000
Illinois (US),Singapore (Else),Series A,3,15589744
Australia (Else),Malaysia (Else),Series A,1,6800000
Australia (Else),Michigan (US),Series A,1,5100000
Malaysia (Else),Michigan (US),Series A,1,5100000
Malaysia (Else),Malaysia (Else),Series A,1,3400000
China (Else),China (Else),Series A,530,7734151269
District of Columbia (US),Illinois (US),Series A,17,81850387
Australia (Else),China (Else),Series A,2,10454545
Australia (Else),California (US),Series B,16,697502160
Australia (Else),Australia (Else),Series B,15,483025985
Australia (Else),Singapore (Else),Series B,5,65801436
Singapore (Else),Singapore (Else),Series B,22,264682090
Australia (Else),New York (US),Series B,7,68847338
Australia (Else),Germany (EU),Series B,2,20666667
Australia (Else),Luxembourg (EU),Series B,1,4000000
Australia (Else),South Africa (Else),Series B,1,4000000
Germany (EU),Luxembourg (EU),Series B,6,24730185
Germany (EU),South Africa (Else),Series B,1,1000000
Luxembourg (EU),South Africa (Else),Series B,1,1000000
Australia (Else),Hawaii (US),Series B,1,2375000
California (US),Hawaii (US),Series B,1,2375000
Hawaii (US),New York (US),Series B,1,2375000
Australia (Else),Massachusetts (US),Series B,6,108372234
California (US),Massachusetts (US),Series B,103,2403032958
California (US),Indonesia (Else),Series B,10,96580556
California (US),Singapore (Else),Series B,49,1391075797
Indonesia (Else),Singapore (Else),Series B,10,147850000
Australia (Else),California (US),Series C,11,433068586
Australia (Else),New York (US),Series C,3,409048165
California (US),New York (US),Series C,122,11943420955
California (US),California (US),Series C,198,8464370922
Australia (Else),Florida (US),Series C,1,26666667
Australia (Else),Hong Kong (Else),Series C,2,510303030
California (US),Florida (US),Series C,17,747307998
California (US),Hong Kong (Else),Series C,32,1078845890
Florida (US),Hong Kong (Else),Series C,3,75000000
Australia (Else),Australia (Else),Series C,2,28666667
Australia (Else),California (US),Series D,6,264723214
Australia (Else),Texas (US),Series D,3,75696429
California (US),Texas (US),Series D,17,858787500
Australia (Else),Australia (Else),Series D,1,22857143
California (US),California (US),Series D,99,4695979345
Australia (Else),Illinois (US),Series Unknown,1,4341390
Australia (Else),Australia (Else),Series Unknown,12,76674477
United Kingdom (EU),United Kingdom (EU),Series Unknown,107,558637143
Australia (Else),Germany (EU),Series Unknown,3,33464286
Belgium (EU),California (US),Undisclosed,1,834284
Belgium (EU),Spain (EU),Undisclosed,1,834284
Belgium (EU),United Kingdom (EU),Undisclosed,1,1251425
California (US),Spain (EU),Undisclosed,1,834284
California (US),United Kingdom (EU),Undisclosed,1,1251425
Spain (EU),United Kingdom (EU),Undisclosed,1,1251425
United Kingdom (EU),United Kingdom (EU),Undisclosed,4,129870942
Austria (EU),Belgium (EU),Grant,1,226248
California (US),New York (US),Post IPO Debt,4,62638000000
California (US),California (US),Post IPO Debt,2,90000000
Austria (EU),Belgium (EU),Pre Seed,1,510458
Austria (EU),Austria (EU),Pre Seed,1,340305
Austria (EU),Italy (EU),Pre Seed,2,1477434
Austria (EU),Switzerland (EU),Seed,1,2454235
Switzerland (EU),Switzerland (EU),Seed,23,39661148
Austria (EU),Germany (EU),Seed,11,11897159
Austria (EU),Norway (EU),Seed,2,1456452
Germany (EU),Norway (EU),Seed,2,1312054
Austria (EU),Austria (EU),Seed,6,3864532
Austria (EU),New York (US),Seed,2,2271698
Germany (EU),Germany (EU),Seed,61,114433212
California (US),Germany (EU),Seed,47,101869831
Luxembourg (EU),Switzerland (EU),Seed,1,735336
Austria (EU),Czech Republic (EU),Seed,1,1801616
Austria (EU),Germany (EU),Series A,7,30158695
Austria (EU),Luxembourg (EU),Series A,3,13667726
Germany (EU),Luxembourg (EU),Series A,6,20952380
Austria (EU),Austria (EU),Series A,7,17756557
Austria (EU),New York (US),Series A,3,13600000
Austria (EU),Switzerland (EU),Series A,1,2400000
Germany (EU),New York (US),Series A,36,283345661
Germany (EU),Switzerland (EU),Series A,16,102827056
Switzerland (EU),Switzerland (EU),Series A,20,82531022
Austria (EU),United Kingdom (EU),Series A,4,16869739
Germany (EU),Germany (EU),Series A,48,253582811
Austria (EU),Czech Republic (EU),Series A,1,1712698
Austria (EU),Liechtenstein (EU),Series A,2,4884126
Czech Republic (EU),Germany (EU),Series A,5,25981778
Czech Republic (EU),Liechtenstein (EU),Series A,1,1712698
Czech Republic (EU),Luxembourg (EU),Series A,2,5046031
Germany (EU),Liechtenstein (EU),Series A,2,7653967
Liechtenstein (EU),Luxembourg (EU),Series A,1,1712698
Austria (EU),France (EU),Series C,1,7206887
Austria (EU),Germany (EU),Series C,2,24804591
Austria (EU),New York (US),Series C,1,4804591
France (EU),Germany (EU),Series C,4,66521102
France (EU),New York (US),Series C,9,204848343
Germany (EU),New York (US),Series C,10,154449036
France (EU),France (EU),Series C,10,203147476
Austria (EU),California (US),Series C,1,20000000
Austria (EU),The Netherlands (EU),Series C,1,20000000
Austria (EU),United Kingdom (EU),Series C,2,33413862
California (US),Germany (EU),Series C,21,482749534
California (US),The Netherlands (EU),Series C,14,331605599
California (US),United Kingdom (EU),Series C,49,5287123839
Germany (EU),The Netherlands (EU),Series C,3,40543055
Germany (EU),United Kingdom (EU),Series C,12,401152579
The Netherlands (EU),United Kingdom (EU),Series C,7,91670192
Austria (EU),Switzerland (EU),Series C,1,13413862
Switzerland (EU),United Kingdom (EU),Series C,5,233868407
Austria (EU),Austria (EU),Series Unknown,2,9001785
Bahrain (Else),Hong Kong (Else),Seed,1,55650
Singapore (Else),Singapore (Else),Pre Seed,5,2317000
United Arab Emirates (Else),United Arab Emirates (Else),Pre Seed,4,1307000
California (US),China (Else),Series A,124,2199521101
China (Else),Singapore (Else),Series A,44,1521089015
Singapore (Else),Singapore (Else),Series A,24,197759745
California (US),Portugal (EU),Series A,4,34495556
Portugal (EU),Singapore (Else),Series A,1,1106667
Bangladesh (Else),California (US),Series A,1,3466667
Bangladesh (Else),District of Columbia (US),Series A,1,3466667
California (US),District of Columbia (US),Series A,38,236030698
California (US),Hong Kong (Else),Series B,33,580856003
Hong Kong (Else),Indonesia (Else),Series B,2,44000000
Hong Kong (Else),Singapore (Else),Series B,13,657895436
Belgium (EU),Belgium (EU),Convertible Note,1,235610
Japan (Else),Japan (Else),Convertible Note,1,11497479
Belgium (EU),Belgium (EU),Seed,20,33967734
Belgium (EU),California (US),Seed,8,13194554
Belgium (EU),France (EU),Seed,4,12396441
Belgium (EU),United Kingdom (EU),Seed,3,8200000
California (US),France (EU),Seed,39,73195596
California (US),United Kingdom (EU),Seed,126,268884815
France (EU),United Kingdom (EU),Seed,31,54667715
France (EU),France (EU),Seed,87,148255439
Belgium (EU),Luxembourg (EU),Seed,3,18428480
Belgium (EU),New York (US),Seed,4,9112325
Belgium (EU),United Kingdom (EU),Series A,6,21244459
Belgium (EU),Belgium (EU),Series A,16,91051441
Belgium (EU),France (EU),Series A,9,66568807
Belgium (EU),Switzerland (EU),Series A,2,25178152
France (EU),Switzerland (EU),Series A,11,50249275
Germany (EU),Massachusetts (US),Series A,12,167431398
Massachusetts (US),Switzerland (EU),Series A,10,217793838
Belgium (EU),California (US),Series A,6,31953958
Belgium (EU),New York (US),Series A,3,21972566
California (US),France (EU),Series A,36,283345671
France (EU),New York (US),Series A,13,74926581
France (EU),United Kingdom (EU),Series A,17,157814642
France (EU),France (EU),Series A,66,457128704
Belgium (EU),Denmark (EU),Series A,3,39621264
Belgium (EU),Israel (Else),Series A,1,20951302
Belgium (EU),Sweden (EU),Series A,1,20951302
Denmark (EU),Israel (Else),Series A,1,13967535
Denmark (EU),Sweden (EU),Series A,5,37258635
Denmark (EU),Switzerland (EU),Series A,3,99192076
Israel (Else),Sweden (EU),Series A,1,13967535
Israel (Else),Switzerland (EU),Series A,3,23386062
Sweden (EU),Switzerland (EU),Series A,3,45429073
Belgium (EU),Germany (EU),Series A,3,20815911
Belgium (EU),The Netherlands (EU),Series A,3,26712414
Germany (EU),The Netherlands (EU),Series A,7,35054041
Belgium (EU),Wisconsin (US),Series A,1,9474298
France (EU),The Netherlands (EU),Series A,5,22426266
France (EU),Wisconsin (US),Series A,1,6316199
The Netherlands (EU),Wisconsin (US),Series A,1,6316199
Belgium (EU),Massachusetts (US),Series A,3,25503295
Denmark (EU),Massachusetts (US),Series A,2,37084981
Denmark (EU),New York (US),Series A,6,61064392
Massachusetts (US),New York (US),Series A,82,1033126485
Belgium (EU),Connecticut (US),Series A,1,10511563
Belgium (EU),Belgium (EU),Series B,5,69451925
France (EU),France (EU),Series B,39,625150214
Belgium (EU),Connecticut (US),Series B,2,7680309
Belgium (EU),The Netherlands (EU),Series B,2,26923166
Connecticut (US),The Netherlands (EU),Series B,2,23282110
Belgium (EU),Massachusetts (US),Series B,3,67857680
Belgium (EU),New York (US),Series B,2,16889891
Belgium (EU),South Korea (Else),Series B,2,21288344
Massachusetts (US),New York (US),Series B,64,1392232154
Massachusetts (US),South Korea (Else),Series B,9,124166562
New York (US),South Korea (Else),Series B,8,120930158
Belgium (EU),India (Else),Series C,2,28500000
Belgium (EU),The Netherlands (EU),Series C,2,33045738
India (Else),The Netherlands (EU),Series C,4,71966667
Belgium (EU),Belgium (EU),Series C,1,11000000
Belgium (EU),China (Else),Series D,3,219201025
Belgium (EU),Germany (EU),Series D,2,50880325
Belgium (EU),Ireland (EU),Series D,1,13407396
Belgium (EU),Switzerland (EU),Series D,1,13407396
China (Else),Germany (EU),Series D,1,13407396
China (Else),Ireland (EU),Series D,1,6703698
China (Else),Switzerland (EU),Series D,1,6703698
Germany (EU),Ireland (EU),Series D,1,13407396
Germany (EU),Switzerland (EU),Series D,6,156568236
Ireland (EU),Switzerland (EU),Series D,1,6703698
Belgium (EU),Belgium (EU),Series D,3,21780898
Germany (EU),Germany (EU),Series D,5,127419508
Belgium (EU),United Kingdom (EU),Series Unknown,3,13072748
Belgium (EU),Belgium (EU),Series Unknown,10,66750315
Belgium (EU),Connecticut (US),Series Unknown,1,19614087
California (US),China (Else),Angel,11,28608195
China (Else),China (Else),Angel,217,421255294
California (US),Colorado (US),Series C,11,292333314
California (US),Massachusetts (US),Series C,67,2582682687
Colorado (US),Massachusetts (US),Series C,8,190190476
Colorado (US),New York (US),Series C,7,231914286
Massachusetts (US),New York (US),Series C,46,1269642684
Massachusetts (US),Massachusetts (US),Series C,23,465328052
New York (US),New York (US),Series C,61,6182944880
Brazil (Else),Brazil (Else),Angel,5,513898
Brazil (Else),California (US),Angel,1,246354
Brazil (Else),United Kingdom (EU),Angel,1,220000
Brazil (Else),Brazil (Else),Non Equity Assistance,1,195161
Brazil (Else),Brazil (Else),Pre Seed,15,14658443
Brazil (Else),Florida (US),Pre Seed,1,1000000
Brazil (Else),Chile (Else),Pre Seed,1,50000
Brazil (Else),Canada (Else),Private Equity,1,107000000
Brazil (Else),Brazil (Else),Seed,29,25168823
Brazil (Else),California (US),Seed,35,80107685
Brazil (Else),United Arab Emirates (Else),Seed,2,1432432
Argentina (Else),Brazil (Else),Seed,1,787500
Argentina (Else),Florida (US),Seed,1,525000
Brazil (Else),Florida (US),Seed,5,3909278
Brazil (Else),Massachusetts (US),Seed,4,1050165
Brazil (Else),New York (US),Seed,15,16318275
Brazil (Else),Pennsylvania (US),Seed,3,2675924
California (US),Pennsylvania (US),Seed,47,100811722
Massachusetts (US),New York (US),Seed,112,166570583
Massachusetts (US),Pennsylvania (US),Seed,16,18177866
New York (US),Pennsylvania (US),Seed,46,69114997
Brazil (Else),Germany (EU),Seed,4,5960829
Australia (Else),Brazil (Else),Seed,1,951347
Brazil (Else),United Kingdom (EU),Seed,8,11295572
Brazil (Else),Brazil (Else),Series A,19,79942789
Brazil (Else),California (US),Series A,18,183869287
Brazil (Else),Ukraine (Else),Series A,1,6428571
Brazil (Else),United Kingdom (EU),Series A,6,29355623
California (US),Ukraine (Else),Series A,3,18071429
New York (US),Ukraine (Else),Series A,2,10000000
Ukraine (Else),United Kingdom (EU),Series A,1,3857143
United Kingdom (EU),United Kingdom (EU),Series A,97,508965759
Brazil (Else),Mexico (Else),Series A,3,31700000
Brazil (Else),District of Columbia (US),Series A,4,22691986
Brazil (Else),Estonia (EU),Series A,2,11738571
California (US),Estonia (EU),Series A,3,19738654
District of Columbia (US),Estonia (EU),Series A,1,6285714
Brazil (Else),Germany (EU),Series A,3,17880556
Austria (EU),District of Columbia (US),Series A,1,4900000
California (US),Germany (EU),Series A,64,551004060
Brazil (Else),Sweden (EU),Series A,2,7707692
Sweden (EU),Sweden (EU),Series A,9,49263491
California (US),District of Columbia (US),Series B,23,310387812
California (US),Florida (US),Series B,35,928243881
California (US),France (EU),Series B,40,705509836
District of Columbia (US),Florida (US),Series B,3,19030303
District of Columbia (US),France (EU),Series B,4,22600733
District of Columbia (US),New York (US),Series B,18,131971385
Florida (US),France (EU),Series B,3,24500000
Florida (US),New York (US),Series B,18,254275641
France (EU),New York (US),Series B,28,560341172
Brazil (Else),Brazil (Else),Series B,2,4130000
Argentina (Else),Brazil (Else),Series B,1,2840000
Argentina (Else),California (US),Series B,3,23840000
Argentina (Else),District of Columbia (US),Series B,1,1420000
Argentina (Else),Georgia (US),Series B,1,1420000
Argentina (Else),New York (US),Series B,3,24420000
Brazil (Else),District of Columbia (US),Series B,2,5840000
Brazil (Else),Georgia (US),Series B,1,2840000
California (US),Georgia (US),Series B,12,190400440
District of Columbia (US),Georgia (US),Series B,2,4496923
Georgia (US),New York (US),Series B,7,142366581
California (US),California (US),Series B,374,6758986642
Brazil (Else),California (US),Series C,8,311983575
Brazil (Else),New York (US),Series C,7,186579935
Brazil (Else),Virginia (US),Series C,2,34141450
California (US),Virginia (US),Series C,10,142393831
New York (US),Virginia (US),Series C,5,93645509
Brazil (Else),California (US),Series D,2,79544791
Brazil (Else),New York (US),Series D,2,41089582
Brazil (Else),United Kingdom (EU),Series D,2,79544791
California (US),New York (US),Series D,66,3702691714
California (US),United Kingdom (EU),Series D,27,2275760768
New York (US),United Kingdom (EU),Series D,13,673053198
New York (US),New York (US),Series D,37,1263480101
California (US),Connecticut (US),Series D,2,35600000
Connecticut (US),New York (US),Series D,3,292500000
Brazil (Else),California (US),Series E,4,1130416667
Brazil (Else),Cayman Islands (Else),Series E,2,91944444
Brazil (Else),New York (US),Series E,4,825833333
Brazil (Else),Virginia (US),Series E,1,37500000
California (US),Cayman Islands (Else),Series E,2,257083333
California (US),New York (US),Series E,37,3772860766
California (US),Virginia (US),Series E,3,238750000
Cayman Islands (Else),New York (US),Series E,3,369166667
Cayman Islands (Else),Virginia (US),Series E,1,37500000
New York (US),Virginia (US),Series E,1,37500000
California (US),California (US),Series E,46,3526346440
Brazil (Else),The Netherlands (EU),Series G,1,500000000
Brazil (Else),Brazil (Else),Series G,1,333333333
Brazil (Else),South Africa (Else),Series I,1,82666667
Brazil (Else),The Netherlands (EU),Series I,1,82666667
South Africa (Else),The Netherlands (EU),Series I,1,82666667
Brazil (Else),Brazil (Else),Series Unknown,2,2134791
Brazil (Else),California (US),Undisclosed,1,20000000
Brazil (Else),New York (US),Undisclosed,1,20000000
California (US),New York (US),Undisclosed,1,20000000
Bulgaria (EU),Luxembourg (EU),Convertible Note,1,5235548
Bulgaria (EU),The Netherlands (EU),Convertible Note,1,5235548
Luxembourg (EU),The Netherlands (EU),Convertible Note,1,3490365
Bulgaria (EU),Bulgaria (EU),Convertible Note,1,3490365
Bulgaria (EU),Serbia (Else),Seed,1,1618750
Bulgaria (EU),Singapore (Else),Seed,1,1618750
Serbia (Else),Singapore (Else),Seed,1,1618750
Bulgaria (EU),Luxembourg (EU),Series B,1,8686211
United Arab Emirates (Else),United Arab Emirates (Else),Seed,22,11548096
Canada (Else),Canada (Else),Angel,6,3038082
Canada (Else),New York (US),Angel,2,601250
Canada (Else),Washington (US),Angel,1,481250
New York (US),Washington (US),Angel,2,728182
California (US),Canada (Else),Angel,1,700000
Canada (Else),New York (US),Convertible Note,3,2219376
Canada (Else),Massachusetts (US),Convertible Note,1,15000000
Canada (Else),Canada (Else),Convertible Note,7,17715605
Massachusetts (US),Massachusetts (US),Convertible Note,5,12475000
California (US),Canada (Else),Convertible Note,2,9034286
California (US),France (EU),Convertible Note,1,3480000
California (US),Germany (EU),Convertible Note,1,3480000
California (US),Italy (EU),Convertible Note,1,3480000
Canada (Else),France (EU),Convertible Note,1,6960000
Canada (Else),Germany (EU),Convertible Note,1,6960000
Canada (Else),Italy (EU),Convertible Note,1,6960000
France (EU),Germany (EU),Convertible Note,1,2320000
France (EU),Italy (EU),Convertible Note,1,2320000
Germany (EU),Italy (EU),Convertible Note,1,2320000
California (US),California (US),Convertible Note,19,27357511
California (US),Sweden (EU),Convertible Note,3,5352381
Canada (Else),Illinois (US),Corporate Round,1,15000000
California (US),Canada (Else),Debt Financing,1,5267637
Canada (Else),Canada (Else),Debt Financing,2,74500000
United Kingdom (EU),United Kingdom (EU),Debt Financing,19,1298050920
Canada (Else),Delaware (US),Debt Financing,1,60621534
Canada (Else),Canada (Else),Grant,9,6688005
Canada (Else),New York (US),Grant,3,1353730
Canada (Else),Georgia (US),Grant,1,780
Canada (Else),Canada (Else),Non Equity Assistance,2,313369
Canada (Else),France (EU),Post IPO Debt,1,200000000
Canada (Else),Germany (EU),Post IPO Debt,1,150000000
Canada (Else),New York (US),Post IPO Debt,2,2700000000
Canada (Else),Tennessee (US),Post IPO Debt,1,150000000
France (EU),Germany (EU),Post IPO Debt,1,150000000
France (EU),New York (US),Post IPO Debt,1,150000000
France (EU),Tennessee (US),Post IPO Debt,1,150000000
Germany (EU),New York (US),Post IPO Debt,2,62600000000
Germany (EU),Tennessee (US),Post IPO Debt,1,100000000
New York (US),Tennessee (US),Post IPO Debt,1,100000000
Canada (Else),Canada (Else),Post IPO Debt,3,626833333
France (EU),France (EU),Post IPO Debt,1,100000000
California (US),Chile (Else),Post IPO Debt,1,40000000
California (US),Texas (US),Post IPO Debt,1,40000000
California (US),United Kingdom (EU),Post IPO Debt,1,40000000
Chile (Else),New York (US),Post IPO Debt,1,40000000
Chile (Else),Texas (US),Post IPO Debt,1,40000000
Chile (Else),United Kingdom (EU),Post IPO Debt,1,40000000
New York (US),Texas (US),Post IPO Debt,1,40000000
New York (US),United Kingdom (EU),Post IPO Debt,2,145092824
Texas (US),United Kingdom (EU),Post IPO Debt,1,40000000
Canada (Else),Georgia (US),Post IPO Debt,2,1740250000
California (US),Canada (Else),Post IPO Equity,1,7431905
California (US),New York (US),Post IPO Equity,6,257885022
Canada (Else),New York (US),Post IPO Equity,8,964412672
New York (US),New York (US),Post IPO Equity,11,2003154500
Canada (Else),Canada (Else),Post IPO Equity,23,585468919
Canada (Else),Spain (EU),Post IPO Equity,1,3662275
Canada (Else),Illinois (US),Post IPO Equity,1,262666667
Illinois (US),New York (US),Post IPO Equity,1,262666667
Canada (Else),Georgia (US),Post IPO Equity,3,168524764
Canada (Else),Texas (US),Post IPO Equity,1,59517664
Georgia (US),New York (US),Post IPO Equity,3,106612165
Georgia (US),Texas (US),Post IPO Equity,1,19839221
New York (US),Texas (US),Post IPO Equity,1,29758832
Canada (Else),India (Else),Post IPO Equity,1,106626773
Canada (Else),Colorado (US),Post IPO Equity,1,4981180
Canada (Else),United Kingdom (EU),Post IPO Equity,1,6940520
Australia (Else),Luxembourg (EU),Post IPO Equity,1,300000000
Australia (Else),New York (US),Post IPO Equity,3,234394441
Luxembourg (EU),New York (US),Post IPO Equity,1,300000000
Luxembourg (EU),Luxembourg (EU),Post IPO Equity,2,220345912
Australia (Else),Massachusetts (US),Post IPO Equity,1,19133333
Massachusetts (US),New York (US),Post IPO Equity,1,19133333
California (US),Canada (Else),Pre Seed,11,8633538
California (US),Pennsylvania (US),Pre Seed,5,5195000
Canada (Else),Pennsylvania (US),Pre Seed,1,300000
Canada (Else),Canada (Else),Pre Seed,18,9969078
Germany (EU),New York (US),Pre Seed,16,4889413
Canada (Else),Ireland (EU),Pre Seed,1,362500
Canada (Else),New York (US),Pre Seed,9,6889431
New York (US),New York (US),Pre Seed,45,21416577
Bahrain (Else),Hong Kong (Else),Pre Seed,3,171243
Illinois (US),New York (US),Pre Seed,6,1400833
Illinois (US),Virginia (US),Pre Seed,1,333333
New York (US),Virginia (US),Pre Seed,2,903333
Canada (Else),Colorado (US),Pre Seed,1,289184
Canada (Else),Hong Kong (Else),Pre Seed,1,289184
Colorado (US),Hong Kong (Else),Pre Seed,1,192789
Colorado (US),New York (US),Pre Seed,7,948333
Canada (Else),Egypt (Else),Pre Seed,1,500033
United Arab Emirates (Else),United Kingdom (EU),Pre Seed,2,580528
California (US),Hong Kong (Else),Pre Seed,2,1250000
California (US),Canada (Else),Private Equity,5,1562463368
California (US),China (Else),Private Equity,5,1787765567
California (US),Texas (US),Private Equity,1,40710012
Canada (Else),China (Else),Private Equity,2,1072130035
Canada (Else),New York (US),Private Equity,4,844840047
Canada (Else),Texas (US),Private Equity,1,122130035
China (Else),New York (US),Private Equity,3,274197801
China (Else),Texas (US),Private Equity,1,40710012
New York (US),Texas (US),Private Equity,2,181420023
Canada (Else),Canada (Else),Private Equity,4,254146696
New York (US),New York (US),Private Equity,9,2734429045
